timestamp,video_pos_sec,person_id,camera_id,head_drop_angle,spine_angle,head_tilt_angle,wrist_activity,recline,perclos,ear,inactive_seconds,motion_score,shoulder_ear_ratio,z_max,z_baseline_ready,system_state,true_label
2026-03-11 07:24:26,469.3,1,second_floor_middle,68.4,9.0,10.9,0.022,0.301,,,0.0,25.06,0.07,0.0,0,awake,
2026-03-11 07:24:26,469.3,2,second_floor_middle,71.4,5.1,18.7,0.1545,0.286,,,0.0,60.14,0.123,0.0,0,awake,
2026-03-11 07:24:36,0.0,1,second_floor_middle,62.3,7.2,12.1,0.1223,0.208,0.143,0.381,0.0,18.63,0.114,0.0,0,awake,
2026-03-11 07:24:48,0.0,5,second_floor_middle,76.8,14.2,49.2,0.0386,0.201,,,0.0,36.75,0.091,0.0,0,awake,
2026-03-11 07:24:57,566.3,6,second_floor_middle,,,,,,,,0.0,0.0,,,0,unknown,
2026-03-11 07:25:06,0.0,2,second_floor_middle,67.3,6.5,11.3,0.071,0.21,,,0.0,51.53,0.112,0.0,0,awake,
2026-03-11 07:25:14,598.0,4,second_floor_middle,,,,,,,,0.0,0.0,,,0,unknown,
2026-03-11 07:25:14,598.0,17,second_floor_middle,76.7,6.6,47.6,0.015,0.153,,,0.0,21.55,0.113,0.0,0,awake,
2026-03-11 07:26:17,0.0,3,second_floor_middle,60.1,8.3,8.7,0.0124,0.199,,,0.0,11.9,0.058,0.0,0,awake,
2026-03-11 07:26:28,805.2,9,second_floor_middle,75.1,13.6,35.3,0.1003,0.251,,,0.0,56.78,0.089,0.0,0,awake,
2026-03-11 07:26:28,805.2,28,second_floor_middle,61.0,31.4,6.5,0.0654,0.225,,,0.0,10.4,0.072,0.0,0,awake,
2026-03-11 07:26:28,805.2,30,second_floor_middle,59.3,8.1,16.6,0.0139,0.107,,,0.0,27.8,0.083,0.0,0,awake,
2026-03-11 07:26:42,831.5,8,second_floor_middle,49.6,11.2,5.7,0.0809,0.208,,,0.0,22.47,0.057,0.0,0,awake,
2026-03-11 07:26:46,843.7,3,second_floor_middle,62.4,10.2,17.4,0.2913,0.127,,,0.0,51.48,0.087,0.0,0,awake,
2026-03-11 07:26:53,856.9,31,second_floor_middle,64.6,36.2,6.2,0.128,0.218,,,0.0,9.77,0.1,0.0,0,awake,
2026-03-11 07:27:10,907.5,1,second_floor_middle,77.2,1.7,17.9,0.2341,0.223,,,0.0,42.75,0.09,0.0,0,awake,
2026-03-11 07:27:10,907.5,8,second_floor_middle,,,,,,,,173.3,0.0,,,0,no_person,
2026-03-11 07:27:14,912.5,1,second_floor_middle,62.4,2.3,14.3,0.1511,0.213,0.095,0.42,0.0,22.98,0.101,0.0,0,awake,
2026-03-11 07:27:24,0.0,10,second_floor_middle,66.4,8.5,25.8,0.2034,0.15,,,0.0,28.5,0.096,0.0,0,awake,
2026-03-11 07:27:30,960.8,5,second_floor_middle,75.5,13.8,43.2,0.0968,0.141,,,0.0,36.43,0.109,0.0,0,awake,
2026-03-11 07:27:34,0.0,2,second_floor_middle,77.3,5.4,13.9,0.0923,0.243,,,0.0,43.21,0.123,0.0,0,awake,
2026-03-11 07:27:36,971.1,2,second_floor_middle,73.2,5.5,20.0,0.1247,0.309,,,0.0,43.81,0.106,0.0,0,awake,
2026-03-11 07:28:22,0.0,17,second_floor_middle,72.9,9.8,39.8,0.1606,0.152,,,0.0,58.02,0.153,0.0,0,awake,
2026-03-11 07:28:29,1111.1,73,second_floor_middle,78.2,9.5,6.5,0.0144,0.274,,,0.0,23.06,0.126,0.0,0,awake,
2026-03-11 07:29:22,1259.6,4,second_floor_middle,49.4,4.0,9.4,0.2301,0.192,,,0.0,32.6,0.113,0.0,0,awake,
